,balls_ct,pitcher_number,rbi_ct,denom,failure_rate
0,0,1,23206,262105,0.088537037
1,0,2,4604,48444,0.095037569
2,0,3,3362,37762,0.089031301
3,0,4,2268,26307,0.086212795
4,0,5,1200,13695,0.08762322
5,0,6,476,5584,0.085243553
6,0,7,195,2108,0.092504744
7,0,8,83,762,0.108923885
8,0,9,26,212,0.122641509
9,0,10,8,45,0.177777778
10,0,11,2,15,0.133333333
11,0,12,1,1,1
12,0,13,0,3,0
13,1,1,21786,267003,0.081594589
14,1,2,4488,50447,0.088964656
15,1,3,3308,39103,0.08459709
16,1,4,2310,26572,0.086933614
17,1,5,1182,13522,0.087413105
18,1,6,485,5718,0.084819867
19,1,7,183,2017,0.090728805
20,1,8,81,739,0.109607578
21,1,9,21,221,0.095022624
22,1,10,3,42,0.071428571
23,1,11,0,8,0
24,1,12,0,2,0
25,1,13,0,1,0
26,2,1,14913,187003,0.079747384
27,2,2,3286,35428,0.092751496
28,2,3,2342,27400,0.085474453
29,2,4,1489,18433,0.080779038
30,2,5,819,9403,0.087099862
31,2,6,376,3822,0.098377813
32,2,7,133,1437,0.092553932
33,2,8,41,420,0.097619048
34,2,9,12,146,0.082191781
35,2,10,6,29,0.206896552
36,2,11,1,10,0.1
37,2,12,0,4,0
38,3,1,9763,159769,0.061106973
39,3,2,2232,32473,0.068734025
40,3,3,1646,25394,0.064818461
41,3,4,1189,17217,0.06905965
42,3,5,609,8967,0.067915691
43,3,6,251,3820,0.065706806
44,3,7,96,1370,0.070072993
45,3,8,34,535,0.063551402
46,3,9,13,153,0.08496732
47,3,10,4,35,0.114285714
48,3,11,1,15,0.066666667
49,3,12,0,1,0
50,3,13,0,1,0
51,4,1,0,6,0
52,4,2,0,2,0
