,base2_run_id,pitcher_number,rbi_ct,denom,failure_rate
0,no,1,38430,717342,0.053572773
1,no,2,6981,127988,0.054544176
2,no,3,5159,100663,0.051250211
3,no,4,3325,67896,0.048971957
4,no,5,1685,34685,0.048580078
5,no,6,679,14150,0.047985866
6,no,7,258,5189,0.049720563
7,no,8,98,1831,0.053522665
8,no,9,25,536,0.046641791
9,no,10,9,117,0.076923077
10,no,11,3,38,0.078947368
11,no,12,0,5,0
12,no,13,0,4,0
13,yes,1,31238,158544,0.197030477
14,yes,2,7629,38806,0.19659331
15,yes,3,5499,28996,0.189646848
16,yes,4,3931,20633,0.190520041
17,yes,5,2125,10902,0.194918364
18,yes,6,909,4794,0.189612015
19,yes,7,349,1743,0.200229489
20,yes,8,141,625,0.2256
21,yes,9,47,196,0.239795918
22,yes,10,12,34,0.352941176
23,yes,11,1,10,0.1
24,yes,12,1,3,0.333333333
25,yes,13,0,1,0
