,batter_arm,pitcher_number,rbi_ct,denom,failure_rate
0,B,1,8341,114946,0.072564509
1,B,2,1911,22704,0.08417019
2,B,3,1369,17344,0.078932196
3,B,4,948,11885,0.079764409
4,B,5,486,6238,0.077909586
5,B,6,197,2438,0.080803938
6,B,7,70,920,0.076086957
7,B,8,37,343,0.10787172
8,B,9,11,101,0.108910891
9,B,10,5,24,0.208333333
10,B,11,0,11,0
11,B,13,0,1,0
12,L,1,23020,290132,0.079343196
13,L,2,4761,55760,0.085383788
14,L,3,3514,44181,0.079536452
15,L,4,2338,29706,0.078704639
16,L,5,1289,15589,0.08268651
17,L,6,532,6423,0.082827339
18,L,7,199,2284,0.087127846
19,L,8,74,804,0.092039801
20,L,9,26,260,0.1
21,L,10,11,53,0.20754717
22,L,11,1,12,0.083333333
23,L,12,0,5,0
24,L,13,0,2,0
25,R,1,38307,470808,0.081364378
26,R,2,7938,88330,0.089867542
27,R,3,5775,68134,0.084759445
28,R,4,3970,46938,0.084579658
29,R,5,2035,23760,0.085648148
30,R,6,859,10083,0.085192899
31,R,7,338,3728,0.090665236
32,R,8,128,1309,0.097784568
33,R,9,35,371,0.094339623
34,R,10,5,74,0.067567568
35,R,11,3,25,0.12
36,R,12,1,3,0.333333333
37,R,13,0,2,0
