,home_team_id,pitcher_number,rbi_ct,denom,failure_rate
0,ANA,1,2285,29902,0.076416293
1,ANA,2,464,5336,0.086956522
2,ANA,3,309,4078,0.075772437
3,ANA,4,194,2680,0.07238806
4,ANA,5,132,1418,0.093088858
5,ANA,6,41,576,0.071180556
6,ANA,7,16,231,0.069264069
7,ANA,8,5,113,0.044247788
8,ANA,9,1,35,0.028571429
9,ARI,1,2477,29029,0.085328465
10,ARI,2,523,5445,0.096051423
11,ARI,3,406,4302,0.094374709
12,ARI,4,272,3111,0.087431694
13,ARI,5,154,1854,0.083063646
14,ARI,6,78,856,0.091121495
15,ARI,7,41,325,0.126153846
16,ARI,8,11,92,0.119565217
17,ARI,9,2,42,0.047619048
18,ARI,10,1,17,0.058823529
19,ARI,11,0,5,0
20,ARI,12,1,5,0.2
21,ATL,1,2120,28718,0.073821297
22,ATL,2,406,5363,0.075703897
23,ATL,3,321,4295,0.074738068
24,ATL,4,250,3164,0.079013906
25,ATL,5,142,1610,0.088198758
26,ATL,6,71,725,0.097931034
27,ATL,7,23,282,0.081560284
28,ATL,8,10,98,0.102040816
29,ATL,9,5,51,0.098039216
30,BAL,1,2451,28854,0.084944895
31,BAL,2,549,6244,0.087924407
32,BAL,3,381,4472,0.08519678
33,BAL,4,189,2601,0.07266436
34,BAL,5,105,1295,0.081081081
35,BAL,6,51,597,0.085427136
36,BAL,7,6,136,0.044117647
37,BAL,8,4,27,0.148148148
38,BAL,9,4,25,0.16
39,BOS,1,2634,29159,0.090332316
40,BOS,2,581,6139,0.094640821
41,BOS,3,406,4449,0.091256462
42,BOS,4,276,3129,0.088207095
43,BOS,5,157,1718,0.091385332
44,BOS,6,65,707,0.091937765
45,BOS,7,27,247,0.109311741
46,BOS,8,6,55,0.109090909
47,BOS,9,3,24,0.125
48,CHA,1,2417,29972,0.080641932
49,CHA,2,465,5705,0.08150745
50,CHA,3,353,4111,0.085867186
51,CHA,4,267,2703,0.098779134
52,CHA,5,120,1417,0.084685956
53,CHA,6,39,506,0.077075099
54,CHA,7,13,196,0.066326531
55,CHA,8,6,64,0.09375
56,CHA,9,2,10,0.2
57,CHN,1,2177,29064,0.074903661
58,CHN,2,454,5071,0.089528693
59,CHN,3,362,4499,0.080462325
60,CHN,4,269,3306,0.081367211
61,CHN,5,133,1570,0.084713376
62,CHN,6,65,700,0.092857143
63,CHN,7,27,285,0.094736842
64,CHN,8,11,92,0.119565217
65,CHN,9,1,12,0.083333333
66,CHN,10,1,4,0.25
67,CIN,1,2367,29091,0.081365371
68,CIN,2,456,5480,0.083211679
69,CIN,3,338,4417,0.076522527
70,CIN,4,240,3091,0.077644775
71,CIN,5,122,1665,0.073273273
72,CIN,6,50,682,0.073313783
73,CIN,7,27,281,0.096085409
74,CIN,8,7,81,0.086419753
75,CIN,9,1,11,0.090909091
76,CLE,1,2373,29265,0.081086622
77,CLE,2,502,5616,0.089387464
78,CLE,3,358,4401,0.081345149
79,CLE,4,214,2926,0.073137389
80,CLE,5,114,1514,0.075297226
81,CLE,6,53,601,0.088186356
82,CLE,7,17,220,0.077272727
83,CLE,8,5,92,0.054347826
84,CLE,9,5,42,0.119047619
85,CLE,10,2,6,0.333333333
86,COL,1,2904,28698,0.101191721
87,COL,2,667,6192,0.107719638
88,COL,3,464,4623,0.100367727
89,COL,4,346,3504,0.098744292
90,COL,5,223,2004,0.111277445
91,COL,6,92,870,0.105747126
92,COL,7,33,318,0.103773585
93,COL,8,10,98,0.102040816
94,COL,9,7,60,0.116666667
95,COL,10,1,16,0.0625
96,DET,1,2524,29583,0.085319271
97,DET,2,541,5911,0.091524277
98,DET,3,424,4383,0.096737394
99,DET,4,256,2731,0.093738557
100,DET,5,92,1216,0.075657895
101,DET,6,41,449,0.091314031
102,DET,7,10,109,0.091743119
103,DET,8,1,13,0.076923077
104,DET,9,1,10,0.1
105,DET,10,0,4,0
106,FLO,1,658,8331,0.078982115
107,FLO,2,152,1660,0.091566265
108,FLO,3,81,1288,0.062888199
109,FLO,4,77,891,0.086419753
110,FLO,5,40,535,0.074766355
111,FLO,6,20,181,0.110497238
112,FLO,7,5,43,0.11627907
113,FLO,8,3,18,0.166666667
114,FLO,9,0,4,0
115,HOU,1,2201,29216,0.075335433
116,HOU,2,506,5725,0.088384279
117,HOU,3,343,4194,0.0817835
118,HOU,4,225,2880,0.078125
119,HOU,5,142,1608,0.088308458
120,HOU,6,65,725,0.089655172
121,HOU,7,12,191,0.062827225
122,HOU,8,9,62,0.14516129
123,HOU,9,1,10,0.1
124,HOU,10,1,12,0.083333333
125,KCA,1,2473,29681,0.083319295
126,KCA,2,511,5684,0.089901478
127,KCA,3,390,4480,0.087053571
128,KCA,4,236,2803,0.084195505
129,KCA,5,94,1379,0.068165337
130,KCA,6,45,518,0.086872587
131,KCA,7,22,225,0.097777778
132,KCA,8,7,90,0.077777778
133,KCA,9,2,31,0.064516129
134,LAN,1,2064,28986,0.071206789
135,LAN,2,377,4926,0.076532684
136,LAN,3,308,4084,0.075416259
137,LAN,4,242,2973,0.08139926
138,LAN,5,110,1543,0.071289695
139,LAN,6,45,622,0.072347267
140,LAN,7,16,261,0.061302682
141,LAN,8,7,105,0.066666667
142,LAN,9,8,36,0.222222222
143,LAN,10,0,23,0
144,LAN,11,1,8,0.125
145,LAN,12,0,3,0
146,LAN,13,0,5,0
147,MIA,1,1527,20530,0.074378958
148,MIA,2,334,3835,0.087092568
149,MIA,3,256,3166,0.080859128
150,MIA,4,150,2123,0.070654734
151,MIA,5,87,1072,0.081156716
152,MIA,6,29,401,0.072319202
153,MIA,7,17,176,0.096590909
154,MIA,8,6,62,0.096774194
155,MIA,9,4,22,0.181818182
156,MIL,1,2417,29061,0.083169884
157,MIL,2,465,5409,0.085967831
158,MIL,3,395,4498,0.087816807
159,MIL,4,263,3273,0.080354415
160,MIL,5,147,1552,0.094716495
161,MIL,6,42,592,0.070945946
162,MIL,7,16,230,0.069565217
163,MIL,8,5,51,0.098039216
164,MIL,9,0,20,0
165,MIN,1,2491,29175,0.08538132
166,MIN,2,584,6070,0.096210873
167,MIN,3,357,4267,0.083665339
168,MIN,4,257,2941,0.087385243
169,MIN,5,129,1513,0.085261071
170,MIN,6,55,543,0.101289134
171,MIN,7,23,226,0.101769912
172,MIN,8,7,77,0.090909091
173,MIN,9,2,22,0.090909091
174,MIN,10,1,5,0.2
175,NYA,1,2481,29136,0.085152389
176,NYA,2,505,5675,0.088986784
177,NYA,3,356,4464,0.079749104
178,NYA,4,241,2921,0.082505991
179,NYA,5,124,1391,0.0891445
180,NYA,6,51,512,0.099609375
181,NYA,7,18,187,0.096256684
182,NYA,8,14,96,0.145833333
183,NYA,9,3,37,0.081081081
184,NYN,1,2045,29154,0.070144749
185,NYN,2,432,5084,0.084972463
186,NYN,3,327,4243,0.077068112
187,NYN,4,234,3015,0.07761194
188,NYN,5,131,1617,0.081014224
189,NYN,6,64,727,0.088033012
190,NYN,7,26,276,0.094202899
191,NYN,8,12,92,0.130434783
192,NYN,9,5,18,0.277777778
193,NYN,10,1,3,0.333333333
194,OAK,1,2154,29229,0.073693934
195,OAK,2,498,5824,0.085508242
196,OAK,3,342,4214,0.081158045
197,OAK,4,238,2710,0.087822878
198,OAK,5,122,1373,0.088856519
199,OAK,6,47,475,0.098947368
200,OAK,7,14,149,0.093959732
201,OAK,8,2,27,0.074074074
202,PHI,1,2277,29447,0.077325364
203,PHI,2,414,5253,0.078812107
204,PHI,3,361,4269,0.08456313
205,PHI,4,229,2973,0.077026572
206,PHI,5,106,1534,0.069100391
207,PHI,6,64,727,0.088033012
208,PHI,7,17,232,0.073275862
209,PHI,8,3,113,0.026548673
210,PHI,9,2,41,0.048780488
211,PHI,10,3,8,0.375
212,PHI,11,1,3,0.333333333
213,PIT,1,2250,28787,0.078160281
214,PIT,2,460,5432,0.084683358
215,PIT,3,354,4449,0.079568442
216,PIT,4,239,3100,0.077096774
217,PIT,5,108,1534,0.070404172
218,PIT,6,44,734,0.059945504
219,PIT,7,22,308,0.071428571
220,PIT,8,15,101,0.148514851
221,PIT,9,1,14,0.071428571
222,SDN,1,2026,28984,0.069900635
223,SDN,2,412,5230,0.078776291
224,SDN,3,309,4130,0.074818402
225,SDN,4,208,3114,0.066795119
226,SDN,5,139,1571,0.088478676
227,SDN,6,39,702,0.055555556
228,SDN,7,21,305,0.068852459
229,SDN,8,9,115,0.07826087
230,SDN,9,1,18,0.055555556
231,SDN,10,1,1,1
232,SEA,1,2122,29678,0.071500775
233,SEA,2,447,5491,0.081405937
234,SEA,3,283,4163,0.067979822
235,SEA,4,168,2494,0.067361668
236,SEA,5,91,1143,0.079615048
237,SEA,6,34,420,0.080952381
238,SEA,7,17,173,0.098265896
239,SEA,8,11,78,0.141025641
240,SEA,9,0,3,0
241,SEA,10,1,3,0.333333333
