,pit_years_of_experience,pitcher_number,rbi_ct,denom,failure_rate
0,1,1,5702,69070,0.082553931
1,1,2,2006,22844,0.087812992
2,1,3,1330,15291,0.086979269
3,1,4,796,8813,0.090321117
4,1,5,410,4571,0.089695909
5,1,6,189,1987,0.095118269
6,1,7,81,830,0.097590361
7,1,8,48,350,0.137142857
8,1,9,14,147,0.095238095
9,1,10,5,34,0.147058824
10,1,11,1,8,0.125
11,2,1,8013,98286,0.081527379
12,2,2,2213,25561,0.086577207
13,2,3,1493,17563,0.085008256
14,2,4,887,10619,0.083529523
15,2,5,459,5030,0.091252485
16,2,6,203,2343,0.086641058
17,2,7,78,908,0.085903084
18,2,8,25,333,0.075075075
19,2,9,9,95,0.094736842
20,2,10,4,45,0.088888889
21,2,11,0,4,0
22,3,1,7285,92287,0.078938529
23,3,2,1994,22603,0.088218378
24,3,3,1321,16063,0.082238685
25,3,4,900,10338,0.087057458
26,3,5,437,4999,0.087417483
27,3,6,175,1922,0.091050989
28,3,7,86,951,0.090431125
29,3,8,24,268,0.089552239
30,3,9,11,92,0.119565217
31,3,10,1,3,0.333333333
32,3,12,0,3,0
33,4,1,7261,95063,0.076380926
34,4,2,1638,18853,0.086882724
35,4,3,1125,13576,0.082866824
36,4,4,719,8987,0.080004451
37,4,5,416,4814,0.086414624
38,4,6,166,2058,0.080660836
39,4,7,41,644,0.063664596
40,4,8,25,246,0.101626016
41,4,9,3,50,0.06
42,4,10,4,15,0.266666667
43,4,11,0,8,0
44,4,12,1,5,0.2
45,4,13,0,5,0
46,5,1,6398,82793,0.077277064
47,5,2,1489,17146,0.086842412
48,5,3,1075,13116,0.081960964
49,5,4,763,9150,0.083387978
50,5,5,325,4408,0.073729583
51,5,6,144,1795,0.080222841
52,5,7,67,687,0.097525473
53,5,8,17,210,0.080952381
54,5,9,5,122,0.040983607
55,6,1,6058,76706,0.078976873
56,6,2,1098,12945,0.084820394
57,6,3,778,10524,0.073926264
58,6,4,559,7444,0.075094035
59,6,5,312,3860,0.080829016
60,6,6,131,1694,0.077331759
61,6,7,49,618,0.079288026
62,6,8,21,181,0.116022099
63,6,9,2,10,0.2
64,6,10,2,16,0.125
65,6,11,0,6,0
66,7,1,4828,62191,0.077631812
67,7,2,975,10645,0.091592297
68,7,3,704,9180,0.076688453
69,7,4,525,6983,0.075182586
70,7,5,283,3575,0.079160839
71,7,6,115,1330,0.086466165
72,7,7,33,392,0.084183673
73,7,8,16,183,0.087431694
74,7,9,4,29,0.137931034
75,7,10,0,2,0
76,8,1,4347,54750,0.07939726
77,8,2,764,8950,0.085363128
78,8,3,650,7708,0.084327971
79,8,4,458,5702,0.080322694
80,8,5,252,2880,0.0875
81,8,6,97,1232,0.078733766
82,8,7,35,398,0.087939698
83,8,8,9,126,0.071428571
84,8,9,10,41,0.243902439
85,8,10,0,5,0
86,8,11,1,4,0.25
87,9,1,3601,45275,0.079536168
88,9,2,518,5623,0.092121643
89,9,3,426,5440,0.078308824
90,9,4,319,4281,0.0745153
91,9,5,203,2576,0.078804348
92,9,6,73,1001,0.072927073
93,9,7,27,281,0.096085409
94,9,8,19,183,0.103825137
95,9,9,8,36,0.222222222
96,9,11,2,17,0.117647059
97,10,1,3215,38959,0.082522652
98,10,2,447,5063,0.088287577
99,10,3,378,4953,0.076317383
100,10,4,300,3637,0.082485565
101,10,5,135,1771,0.07622812
102,10,6,67,747,0.089692102
103,10,7,21,230,0.091304348
104,10,8,4,70,0.057142857
105,10,9,1,25,0.04
106,10,10,1,6,0.166666667
107,11,1,2991,38402,0.077886568
108,11,2,328,3719,0.088195752
109,11,3,288,3634,0.079251513
110,11,4,204,2740,0.074452555
111,11,5,129,1732,0.07448037
112,11,6,61,685,0.089051095
113,11,7,23,264,0.087121212
