,score_hitting,pitcher_number,rbi_ct,denom,failure_rate
0,0,1,28902,383280,0.075407013
1,0,2,1865,21104,0.088371873
2,0,3,866,10587,0.081798432
3,0,4,357,4296,0.083100559
4,0,5,92,1368,0.067251462
5,0,6,37,444,0.083333333
6,0,7,9,102,0.088235294
7,0,8,0,36,0
8,0,9,2,18,0.111111111
9,0,10,1,5,0.2
10,1,1,15448,186977,0.082619787
11,1,2,2334,27200,0.085808824
12,1,3,1416,17276,0.081963417
13,1,4,772,9031,0.085483335
14,1,5,254,3199,0.079399812
15,1,6,82,1159,0.070750647
16,1,7,40,402,0.099502488
17,1,8,10,142,0.070422535
18,1,9,1,44,0.022727273
19,1,10,4,14,0.285714286
20,2,1,10400,125955,0.082569172
21,2,2,2398,28024,0.085569512
22,2,3,1657,20328,0.081513184
23,2,4,1001,12094,0.082768315
24,2,5,405,5058,0.080071174
25,2,6,143,1920,0.074479167
26,2,7,58,654,0.088685015
27,2,8,21,191,0.109947644
28,2,9,3,82,0.036585366
29,2,10,1,9,0.111111111
30,3,1,6473,77708,0.083299017
31,3,2,2003,24022,0.0833819
32,3,3,1595,20018,0.07967829
33,3,4,1015,13404,0.075723665
34,3,5,502,6513,0.077076616
35,3,6,190,2601,0.073048827
36,3,7,70,946,0.073995772
37,3,8,34,387,0.087855297
38,3,9,15,83,0.180722892
39,3,10,2,15,0.133333333
40,4,1,3849,46177,0.083353184
41,4,2,1808,20049,0.090179061
42,4,3,1455,17347,0.083876175
43,4,4,977,12757,0.076585404
44,4,5,536,6790,0.078939617
45,4,6,219,2898,0.075569358
46,4,7,83,1045,0.079425837
47,4,8,33,360,0.091666667
48,4,9,12,121,0.099173554
49,4,10,3,34,0.088235294
50,4,11,1,14,0.071428571
51,4,12,0,3,0
52,5,1,2098,25265,0.083039778
53,5,2,1396,15299,0.091247794
54,5,3,1058,13099,0.080769524
55,5,4,879,10404,0.084486736
56,5,5,472,5484,0.086068563
57,5,6,198,2178,0.090909091
58,5,7,76,852,0.089201878
59,5,8,25,298,0.083892617
60,5,9,5,57,0.087719298
61,5,10,1,19,0.052631579
62,5,11,1,9,0.111111111
63,5,13,0,5,0
64,6,1,1174,13887,0.084539497
65,6,2,1100,12003,0.091643756
66,6,3,845,10592,0.07977719
67,6,4,693,8604,0.080543933
68,6,5,453,5235,0.086532951
69,6,6,192,2108,0.091081594
70,6,7,76,800,0.095
71,6,8,28,251,0.111553785
72,6,9,5,86,0.058139535
73,6,10,2,24,0.083333333
74,6,11,0,5,0
75,6,12,1,4,0.25
76,7,1,559,7227,0.077348831
77,7,2,674,7744,0.087035124
78,7,3,597,7010,0.085164051
79,7,4,553,6286,0.087973274
80,7,5,344,3886,0.088522903
81,7,6,151,1727,0.087434858
82,7,7,62,667,0.092953523
83,7,8,28,291,0.096219931
84,7,9,10,70,0.142857143
85,7,10,4,14,0.285714286
86,7,11,1,16,0.0625
87,7,12,0,1,0
88,8,1,327,4183,0.07817356
89,8,2,410,4564,0.089833479
90,8,3,394,4711,0.083634048
91,8,4,352,4105,0.085749086
92,8,5,266,2797,0.095101895
93,8,6,120,1233,0.097323601
94,8,7,54,453,0.119205298
95,8,8,19,163,0.116564417
96,8,9,6,46,0.130434783
97,8,10,2,14,0.142857143
98,8,11,0,1,0
99,9,1,178,2359,0.075455702
100,9,2,250,2782,0.089863408
101,9,3,278,3243,0.085723096
102,9,4,232,2740,0.084671533
103,9,5,165,1938,0.085139319
104,9,6,97,931,0.104189044
105,9,7,31,426,0.072769953
106,9,8,23,173,0.132947977
107,9,9,4,73,0.054794521
108,9,10,1,2,0.5
109,10,1,106,1274,0.083202512
110,10,2,150,1596,0.093984962
111,10,3,181,2104,0.086026616
112,10,4,154,1893,0.081352351
113,10,5,119,1240,0.095967742
114,10,6,57,606,0.094059406
115,10,7,12,202,0.059405941
116,10,8,7,69,0.101449275
117,10,9,2,16,0.125
118,11,1,45,634,0.070977918
119,11,2,85,929,0.091496233
120,11,3,126,1242,0.101449275
121,11,4,91,988,0.092105263
122,11,5,66,753,0.087649402
123,11,6,41,396,0.103535354
124,11,7,20,176,0.113636364
125,11,8,6,45,0.133333333
126,11,9,3,22,0.136363636
127,11,11,1,1,1
128,12,1,46,414,0.111111111
129,12,2,57,580,0.098275862
130,12,3,83,855,0.097076023
131,12,4,71,754,0.094164456
132,12,5,50,452,0.110619469
133,12,6,18,250,0.072
134,12,7,7,73,0.095890411
135,12,8,4,23,0.173913043
136,12,9,3,10,0.3
137,12,11,0,2,0
138,13,1,27,239,0.112970711
139,13,2,31,375,0.082666667
140,13,3,42,489,0.085889571
141,13,4,45,456,0.098684211
142,13,5,31,317,0.097791798
143,13,6,19,188,0.10106383
144,13,7,3,51,0.058823529
145,13,8,1,18,0.055555556
146,13,9,1,3,0.333333333
147,14,1,17,152,0.111842105
148,14,2,27,284,0.095070423
149,14,3,31,371,0.083557951
150,14,4,32,324,0.098765432
151,14,5,21,223,0.094170404
152,14,6,8,111,0.072072072
153,14,7,3,29,0.103448276
154,14,8,0,9,0
155,15,1,8,70,0.114285714
156,15,2,11,106,0.103773585
157,15,3,25,187,0.13368984
158,15,4,12,151,0.079470199
159,15,5,15,131,0.114503817
160,15,6,2,71,0.028169014
161,15,7,0,19,0
162,16,1,3,35,0.085714286
163,16,2,2,36,0.055555556
164,16,3,5,84,0.05952381
165,16,4,9,122,0.073770492
166,16,5,10,90,0.111111111
167,16,6,4,41,0.097560976
168,16,7,0,7,0
169,16,10,0,1,0
170,17,1,8,43,0.186046512
171,17,2,3,49,0.06122449
172,17,3,0,41,0
173,17,4,6,55,0.109090909
174,17,5,6,49,0.12244898
175,17,6,4,26,0.153846154
176,17,7,0,5,0
177,17,9,0,1,0
178,18,1,0,3,0
179,18,2,3,11,0.272727273
180,18,3,2,26,0.076923077
181,18,4,3,23,0.130434783
182,18,5,2,20,0.1
183,18,6,4,28,0.142857143
184,18,7,2,7,0.285714286
185,19,1,0,4,0
186,19,2,2,24,0.083333333
187,19,3,1,32,0.03125
188,19,4,0,20,0
189,19,5,1,34,0.029411765
190,19,6,2,17,0.117647059
191,19,7,1,8,0.125
192,20,2,1,4,0.25
193,20,4,0,13,0
194,20,5,0,5,0
195,20,6,0,4,0
196,21,2,0,9,0
197,21,3,1,17,0.058823529
198,21,4,2,9,0.222222222
199,21,5,0,5,0
200,21,6,0,7,0
201,21,7,0,8,0
